input,output
"account balance",dbquery
"transaction history",dbquery
"credit score",dbquery
"my account details",dbquery
"recent transactions",dbquery
"show my account statement",dbquery
"interest rate information",dbquery
"balance inquiry please",dbquery
"what is my current balance",dbquery
"retrieve last five transactions",dbquery
"fetch my recent statement",dbquery
"get my account info",dbquery
"what is my transaction history",dbquery
"show me my credit score",dbquery
"balance details request",dbquery
"provide my bank statement",dbquery
"display my account summary",dbquery
"account information lookup",dbquery
"I need my latest transactions",dbquery
"check my account balance immediately",dbquery
"can you show transaction details",dbquery
"what are my interest earnings",dbquery
"view my monthly statement",dbquery
"account details and balance",dbquery
"request my bank balance info",dbquery
"latest account transactions summary",dbquery
"my current account details",dbquery
"download my transaction report",dbquery
"I want to see my credit report",dbquery
"get bank statement for last month",dbquery
"what's my account's balance",dbquery
"check recent deposits and withdrawals",dbquery
"detail my account activity",dbquery
"fetch my savings account summary",dbquery
"transaction log request",dbquery
"show detailed transaction history",dbquery
"I need a full statement",dbquery
"what is my updated account data",dbquery
"transfer funds",service
"pay bill",service
"activate debit card",service
"deactivate credit card",service
"initiate loan request",service
"change my address",service
"update mobile number",service
"set up auto-pay",service
"report a lost card",service
"schedule a fund transfer",service
"cancel scheduled payment",service
"open new savings account",service
"apply for credit card",service
"pay utility bill online",service
"initiate international transfer",service
"request checkbook",service
"order replacement card",service
"update my email address",service
"change contact number",service
"block my debit card immediately",service
"file a fraud report",service
"schedule bill payment for rent",service
"transfer money to savings account",service
"set up standing instruction",service
"apply for personal loan",service
"reorder checkbook please",service
"change my bank branch",service
"upgrade to premium account",service
"initiate wire transfer now",service
"cancel my scheduled transfer",service
"enroll in mobile banking",service
"activate my new card",service
"deactivate lost credit card",service
"reset my online banking password",service
"request for cheque book",service
"update account contact details",service
"pay credit card bill",service
"initiate fund transfer request",service
"transfers page",page_routing
"open profile",page_routing
"go to investments",page_routing
"beneficiary management section",page_routing
"navigate to payments tab",page_routing
"show me the loans page",page_routing
"open account summary page",page_routing
"where is the offers section",page_routing
"take me to support",page_routing
"access transaction history page",page_routing
"show transfers tab",page_routing
"navigate to account details",page_routing
"open the statement page",page_routing
"go to fund transfer screen",page_routing
"redirect to loan application",page_routing
"show me my dashboard",page_routing
"move to credit card section",page_routing
"open settings page",page_routing
"navigate to help center",page_routing
"take me to mobile banking",page_routing
"access bill payment section",page_routing
"go to branch locator",page_routing
"show customer support page",page_routing
"open investment options",page_routing
"find rewards section",page_routing
"redirect to account overview",page_routing
"go to card services",page_routing
"access statements and history",page_routing
"take me to the FAQ page",page_routing
"switch to profile settings",page_routing
"open recent transactions tab",page_routing
"navigate to rewards dashboard",page_routing
"show me the investments section",page_routing
"go to contact details",page_routing
"open loan details page",page_routing
"redirect to update information",page_routing
"take me to account settings page",page_routing
"hi there",general
