query_id,query_level,complete_time,waiting_time,redirected,created,updated,estimated_time,priority_level,language,customer_id,employee_id
1734,2,40,1200,false,2025-03-13T10:00:00Z,2025-03-13T10:30:00Z,30,5,hindi,501,1001
1735,3,50,900,false,2025-03-14T11:00:00Z,2025-03-14T11:45:00Z,45,4,english,502,1002
1736,1,30,600,false,2025-03-15T09:30:00Z,2025-03-15T10:00:00Z,20,3,hindi,503,1003
1737,2,35,800,false,2025-03-16T14:00:00Z,2025-03-16T14:40:00Z,25,4,english,504,1004
1738,3,55,1000,false,2025-03-17T12:00:00Z,2025-03-17T12:50:00Z,35,5,hindi,505,1005
1739,2,45,1100,false,2025-03-18T15:00:00Z,2025-03-18T15:30:00Z,30,3,english,506,1006
1740,1,25,500,false,2025-03-19T08:00:00Z,2025-03-19T08:20:00Z,15,2,hindi,507,1007
1741,2,40,700,false,2025-03-20T13:00:00Z,2025-03-20T13:35:00Z,25,4,english,508,1008
1742,3,50,950,false,2025-03-21T11:00:00Z,2025-03-21T11:45:00Z,30,5,hindi,509,1009
1743,2,35,850,false,2025-03-22T10:00:00Z,2025-03-22T10:40:00Z,20,4,english,510,1010
1744,1,30,600,false,2025-03-23T09:00:00Z,2025-03-23T09:30:00Z,15,3,hindi,501,1011
1745,2,45,800,false,2025-03-24T14:00:00Z,2025-03-24T14:45:00Z,25,5,english,502,1012
